31789,o,5
870609,o,38
845769,p,14
713183,p,106
438,p,1
1891,p,10
23784,n,1
8775,p,1
11165,p,1
890703,o,10
961448,o,21
2741,n,1
6188,p,2
2790,p,7
4976,p,5
18374,p,2
3884,n,1
795723,p,5
6165,o,7
10607,o,1
18245,p,1
1903,p,5
3596,o,4
9765,o,9
61932,o,1
18800,o,1
2389,o,5
12602,p,4
6031,p,1
17063,p,3
1056,o,5
120,o,5
25902,o,1
10683,o,1
6589,p,3
14834,p,2
79378,p,6
10859,o,3
12090,p,3
1728,p,2
4320,p,5
5303,p,1
56131,n,2
2783,p,2
41046,p,1
13717,o,3
7856,o,1
84975,o,1
15003,n,1
8057,p,3
25875,n,1
4290,o,2
11987,o,2
2046,n,3
4172,o,7
80892,p,7
2337,o,6
30952,o,3
2270,p,2
4646,p,5
26051,p,1
8970,p,1
5467,o,3
13687,o,2
96412,o,10
813,o,1
2422,p,3
8405,p,1
1011,p,5
2373,o,2
1694,p,6
2499,p,12
6168,o,5
20483,p,1
6872,p,5
21626,p,1
8832,p,2
5564,o,1
1285,o,6
2649,o,3
1178,o,1
3163,p,1
781960,n,5
7246,n,1
2613,p,1
4378,o,5
843,o,2
5991,p,4
20775,p,3
7752,p,1
18124,n,1
17037,n,1
27360,p,2
15788,o,1
23747,p,1
21310,o,1
15287,p,3
8048,p,3
5051,p,1
1689,o,20
14086,o,2
6923,n,1
2058,o,2
9897,o,1
5776,p,2
19078,p,1
6208,o,1
22987,p,1
14583,o,3
4773,p,3
11125,p,1
5191,p,1
48601,o,1
56445,p,6
1453,p,3
94894,p,3
43435,p,1
12416,p,4
30463,p,1
749123,p,87
852124,o,8
3081,o,1
3329,o,2
11981,n,2
20925,o,6
957483,p,36
44445,p,1
3449,p,4
11688,o,1
24482,o,3
8520,p,1
5074,p,11
29079,p,1
752,p,6
2099,p,1
72949,o,2
4387,p,1
8209,o,2
24199,p,1
1,p,26
54690,p,1
746,o,1
781613,o,5
7388,p,9
174,p,7
626345,p,33
6148,p,2
8240,p,3
33436,p,2
2218,p,2
1372,p,3
495,p,3
594,p,2
25720,p,1
9678,p,1
4455,o,3
2973,p,1
8697,o,2
4927,o,7
7771,o,1
17422,o,1
2386,o,8
5743,o,2
8255,p,1
935757,n,4
15223,o,3
16432,p,9
5994,p,10
3227,p,2
9694,p,1
40873,p,10
5540,p,3
9017,p,4
1437,o,1
981,p,2
90016,p,1
1978,p,1
4489,o,4
2014,o,3
7931,p,4
17466,p,2
96039,o,1
498,p,2
9404,o,1
29653,o,5
4926,o,3
15514,o,2
7201,p,6
94160,p,3
7058,o,2
959,o,3
3202,p,3
21030,n,1
2285,n,1
20708,p,2
4392,p,3
9754,p,2
557,o,1
12279,p,2
16960,p,1
56,o,2
7411,p,3
5452,p,1
48628,p,1
12898,o,4
81578,p,3
891021,p,9
81922,p,3
7663,o,1
3386,n,1
15155,n,1
3091,p,3
6339,p,1
17393,o,1
51149,o,1
11148,o,11
12050,p,1
9503,o,1
3583,p,1
702082,n,1
8327,o,2
16048,o,1
8231,p,1
3322,p,3
709,p,3
2925,o,4
9792,o,1
9973,n,3
2427,o,2
9360,p,3
15552,p,2
8225,p,1
9452,o,1
6902,p,2
1903,o,5
2835,o,7
7376,p,9
829773,n,11
2409,o,17
13481,o,3
3031,o,3
396,o,4
10900,n,3
3644,n,3
