1245,o,16
171627,o,14
24815,o,1
17067,o,40
4462,p,3
2410,p,15
22035,o,16
44145,o,1
26006,p,1
15788,o,36
12487,p,1
514,o,28
13107,p,2
36334,o,6
853,p,6
1624,o,24
13019,p,10
10831,p,2
5008,o,7
23252,o,3
8110,o,3
2186,o,7
9135,p,6
6611,p,2
55823,p,1
13805,o,4
23665,o,4
24017,o,9
9943,o,39
29225,o,3
5030,p,5
31258,p,1
22574,p,1
14208,p,5
36149,o,2
25692,p,1
19409,o,2
13668,p,2
23207,n,1
112528,o,20
7615,p,3
481,p,6
6492,o,14
12545,p,3
15699,p,3
5967,p,6
25683,p,1
12217,o,21
6661,o,3
123,o,9
1758,p,1
469,o,14
6551,o,14
6847,o,47
47000,p,1
2540,p,3
9947,o,4
27957,o,5
56484,p,3
23033,o,1
32358,p,4
13306,p,1
10401,o,2
5587,p,6
11150,o,17
3500,o,5
18604,o,27
3963,p,8
4878,n,1
12626,o,6
10438,o,5
35325,p,1
16497,p,2
2257,p,4
15560,o,1
96614,o,2
51881,o,27
22767,o,20
16901,o,5
20439,o,9
2533,o,59
7194,p,3
16779,o,3
4157,o,10
37559,o,6
5770,p,13
23258,p,1
13098,p,2
12396,p,11
7117,o,2
1368,o,24
6556,o,10
4827,p,8
4822,o,17
48594,o,4
5941,p,1
14013,p,5
245,p,17
27976,o,15
28328,o,2
34694,o,2
3685,p,2
25713,p,2
21127,p,1
36815,p,1
33404,o,1
4263,o,5
2486,p,5
88230,p,2
16555,o,7
3164,p,5
15057,o,1
9207,o,2
910,p,9
210,p,5
94163,o,2
4795,n,2
1608,p,4
2590,o,24
23148,o,27
3724,o,19
171294,o,14
11914,o,3
77846,o,2
9872,o,5
16834,o,11
8238,o,18
17512,o,3
5009,p,1
153381,p,1
3006,o,15
26686,o,2
13225,p,1
7230,o,7
25750,o,2
49538,o,2
6260,n,1
5555,p,1
45447,p,2
37106,o,4
31000,o,1
14587,o,6
1299,o,14
7859,o,2
69193,o,8
32687,o,1
28693,o,1
11778,p,4
21217,o,3
36116,p,2
23659,o,2
43103,o,2
2024,o,13
1744,o,27
3128,o,18
13466,o,34
12748,o,11
5516,o,31
12602,o,2
13289,p,1
106523,p,1
30527,p,1
23559,p,1
7626,n,1
2265,o,58
8388,p,5
3117,o,36
4417,o,21
39509,o,7
4968,p,1
15269,o,1
834,p,7
10769,o,6
984,p,11
5523,o,11
152693,o,11
5766,p,2
14977,o,2
1823,n,4
14372,p,4
12017,o,8
20464,p,1
25458,p,1
18137,o,9
2864,o,45
230,o,40
836,o,33
2749,p,5
33676,o,6
4860,o,11
25161,p,1
10956,o,54
18621,p,5
4135,p,6
6186,o,3
45471,o,3
39963,o,6
8617,o,4
3572,p,9
5823,o,5
67394,p,1
28597,o,2
38069,o,3
10514,p,1
4835,n,1
10039,o,1
35006,o,6
5547,p,1
277,p,2
26116,o,29
9824,o,5
65982,o,2
28536,o,4
13324,n,1
13125,p,1
15241,p,1
5692,o,3
3410,o,9
19346,o,1
13772,p,2
12287,o,3
14839,o,11
8204,p,3
9187,o,4
42419,o,3
49065,o,2
21235,o,4
29872,p,1
72733,o,2
62862,p,1
17122,o,26
3858,o,6
35814,o,6
24598,o,20
1119,p,12
28106,o,6
6267,p,1
13804,o,9
19494,o,1
13540,o,1
17427,p,1
18299,o,17
9095,o,24
1279,o,88
9166,p,2
28491,o,7
1484,p,6
5592,p,1
9427,o,3
5273,o,1
7464,p,2
9906,o,22
19796,o,45
47532,o,2
970,o,43
11472,n,1
14629,p,1
4933,p,3
14012,o,4
8243,p,3
40402,o,2
17340,p,1
23497,o,15
9316,p,6
2133,o,35
12761,o,5
28027,o,3
23025,o,21
42825,o,4
412,o,38
4128,o,23
3597,p,6
12752,o,10
12574,o,2
30778,n,1
21219,p,2
55609,p,2
50619,p,1
12703,p,1
51129,o,7
1587,o,28
5703,o,23
3791,o,27
4610,p,12
648,p,6
13321,o,3
1684,p,4
9005,o,1
60447,o,1
17257,o,5
16858,p,1
4023,o,5
35977,n,1
25166,p,1
3910,o,13
7846,o,8
