26,13,13.0,13,13,13.0,13
29,29,29.0,29,29,29.0,29
474,56,56.0,56,56,56.0,56
964,46,46.0,46,46,46.0,46
1677,46,46.0,46,46,46.0,46
1697,57,57.0,57,57,57.0,57
1806,61,61.0,61,61,61.0,61
1950,56,56.0,56,56,56.0,56
2040,42,42.0,42,42,42.0,42
2214,39,39.0,39,39,39.0,39
2250,59,59.0,59,59,59.0,59
2453,55,55.0,55,55,55.0,55
2509,67,67.0,67,67,67.0,67
2529,51,51.0,51,51,51.0,51
2927,66,66.0,66,66,66.0,66
3091,55,55.0,55,55,55.0,55
3506,80,80.0,80,80,80.0,80
3764,59,59.0,59,59,59.0,59
4590,48,48.0,48,48,48.0,48
4823,45,45.0,45,45,45.0,45
4894,45,45.0,45,45,45.0,45
5385,61,61.0,61,61,61.0,61
5409,42,42.0,42,42,42.0,42
5556,38,38.0,38,38,38.0,38
6721,29,29.0,29,29,29.0,29
7225,25,25.0,25,25,25.0,25
7279,31,31.0,31,31,31.0,31
7747,31,31.0,31,31,31.0,31
8075,29,29.0,29,29,29.0,29
8440,37,37.0,37,37,37.0,37
8484,28,28.0,28,28,28.0,28
9233,23,23.0,23,23,23.0,23
9458,33,33.0,33,33,33.0,33
9715,16,16.0,16,16,16.0,16
9945,30,30.0,30,30,30.0,30
9968,23,23.0,23,23,23.0,23
9978,31,31.0,31,31,31.0,31
10156,26,26.0,26,26,26.0,26
10422,23,23.0,23,23,23.0,23
10871,19,19.0,19,19,19.0,19
10959,34,34.0,34,34,34.0,34
11190,20,20.0,20,20,20.0,20
11276,24,24.0,24,24,24.0,24
11434,24,24.0,24,24,24.0,24
11567,19,19.0,19,19,19.0,19
11619,21,21.0,21,21,21.0,21
11625,19,19.0,19,19,19.0,19
11745,20,20.0,20,20,20.0,20
11938,15,15.0,15,15,15.0,15
11945,30,30.0,30,30,30.0,30
12044,18,18.0,18,18,18.0,18
12568,21,21.0,21,21,21.0,21
13098,14,14.0,14,14,14.0,14
13248,18,18.0,18,18,18.0,18
13401,12,12.0,12,12,12.0,12
13452,20,20.0,20,20,20.0,20
13460,12,12.0,12,12,12.0,12
13518,9,9.0,9,9,9.0,9
13638,10,10.0,10,10,10.0,10
13723,13,13.0,13,13,13.0,13
14117,7,7.0,7,7,7.0,7
14719,11,11.0,11,11,11.0,11
14846,24,24.0,24,24,24.0,24
15057,9,9.0,9,9,9.0,9
15173,13,13.0,13,13,13.0,13
15194,8,8.0,8,8,8.0,8
15237,6,6.0,6,6,6.0,6
15322,7,7.0,7,7,7.0,7
15371,6,6.0,6,6,6.0,6
15375,20,20.0,20,20,20.0,20
15432,14,14.0,14,14,14.0,14
15437,8,8.0,8,8,8.0,8
15663,22,22.0,22,22,22.0,22
15846,6,6.0,6,6,6.0,6
16530,4,4.0,4,4,4.0,4
16597,6,6.0,6,6,6.0,6
16742,12,12.0,12,12,12.0,12
16896,11,11.0,11,11,11.0,11
17043,3,3.0,3,3,3.0,3
17048,5,5.0,5,5,5.0,5
17499,7,7.0,7,7,7.0,7
17703,8,8.0,8,8,8.0,8
17971,8,8.0,8,8,8.0,8
17979,9,9.0,9,9,9.0,9
18147,6,6.0,6,6,6.0,6
18196,5,5.0,5,5,5.0,5
18295,12,12.0,12,12,12.0,12
18348,6,6.0,6,6,6.0,6
18628,11,11.0,11,11,11.0,11
18730,6,6.0,6,6,6.0,6
19141,5,5.0,5,5,5.0,5
19158,10,10.0,10,10,10.0,10
19163,8,8.0,8,8,8.0,8
19771,7,7.0,7,7,7.0,7
19907,2,2.0,2,2,2.0,2
19979,8,8.0,8,8,8.0,8
20532,8,8.0,8,8,8.0,8
