26,30,6
29,52,4
474,18,0
964,59,6
1677,27,5
1697,21,10
1806,25,3
1950,18,5
2040,24,12
2214,15,4
2250,15,1
2453,49,5
2509,15,2
2529,59,1
2927,40,0
3091,21,5
3506,15,1
3764,30,8
4590,25,15
4823,3,0
4894,21,0
5385,14,2
5409,5,7
5556,31,18
6721,29,11
7225,25,7
7279,9,41
7747,2,3
8075,24,1
8440,14,1
8484,26,3
9233,37,0
9458,13,0
9715,3,17
9945,13,2
9968,1,0
9978,6,3
10156,12,8
10422,15,0
10871,47,14
10959,20,0
11190,7,7
11276,18,2
11434,4,0
11567,8,0
11619,3,0
11745,15,1
11938,1,6
11945,25,0
12044,41,0
12568,6,0
13098,16,0
13248,5,3
13401,6,0
13452,1,0
13460,13,0
13518,7,3
13638,1,0
13723,8,5
14719,6,0
14846,17,0
15057,2,0
15173,14,0
15194,9,0
15322,1,0
15371,6,2
15375,3,0
15432,4,0
15437,12,0
15663,6,7
15846,9,0
16530,4,0
16742,3,0
16896,37,0
17043,19,0
17499,3,0
18147,9,0
18196,5,0
18348,1,0
18730,3,0
19141,7,0
19158,14,0
19771,7,0
19907,2,0
20532,3,0
21209,31,0
21899,4,0
22129,9,0
22165,4,0
22201,2,0
22245,10,0
23019,6,0
25084,23,0
25479,35,0
25649,6,0
27919,3,0
28728,1,0
29018,3,0
29089,3,0
29824,2,0
30428,6,0
30562,1,0
31703,2,0
32571,1,0
32954,6,0
36102,2,0
38510,1,0
38996,6,0
39527,7,0
42852,2,0
45166,2,0
48280,4,0
50049,9,0
52412,5,0
54536,2,0
55474,2,0
56309,2,0
61749,2,0
62327,6,0
62526,4,0
64873,1,0
65848,1,0
66070,1,0
74138,1,0
78671,11,0
96359,2,0
98148,2,0
99044,4,0
104473,20,0
105403,20,0
109867,20,0
112870,20,0
115150,20,0
172641,14,0
178648,10,0
182711,16,0
241899,2,0
420876,5,0
534667,1,0
65,34,4
191,41,15
418,24,2
541,23,0
558,33,1
1010,20,7
1224,29,4
1258,65,13
1277,33,6
1360,35,8
1840,5,3
2173,16,13
2812,65,7
2895,38,4
2906,46,1
2941,6,4
3009,51,1
3015,36,12
3061,32,2
3106,40,3
3199,12,11
3280,8,0
3391,16,2
3800,48,6
3806,35,11
4126,17,0
4371,29,1
5241,11,8
5418,23,7
5759,21,2
5934,22,7
6401,10,1
6424,35,6
6834,4,7
6892,59,10
7130,15,0
7358,24,4
7436,22,0
7544,21,1
7546,14,6
8092,33,1
8101,4,0
8209,10,4
8305,4,0
9179,8,0
9444,20,6
9618,9,0
10237,12,3
10636,9,0
10889,3,0
11270,12,1
11309,10,3
11495,8,2
11593,6,0
11771,3,0
11860,16,3
12148,10,5
12936,2,10
13206,1,0
13240,5,0
13299,14,0
13658,10,0
14029,3,0
14259,1,6
14531,3,0
14805,6,0
14832,4,2
15221,3,4
15758,3,0
15921,6,0
16441,10,0
16781,1,0
17595,17,0
18026,34,1
18117,11,0
18404,19,4
18598,3,1
19115,24,0
19329,3,0
20867,2,0
23030,6,0
23090,2,3
23110,5,0
23772,3,0
24782,1,0
25244,1,0
25562,14,0
25946,7,0
25999,6,0
26389,3,0
27183,9,0
27385,7,0
28615,2,0
28683,2,0
28720,4,3
29695,1,0
36941,1,0
39764,3,0
39786,6,0
40415,15,0
40481,1,0
40599,4,0
41301,4,0
43097,4,0
43199,6,0
44925,6,0
47536,4,0
50069,4,0
50104,1,0
50391,1,0
50687,5,0
51547,4,0
53722,1,0
66527,7,0
68314,52,0
70310,1,0
75124,9,0
77434,4,0
84666,2,0
97685,2,0
152281,11,0
166189,4,0
247991,1,0
222,30,14
270,22,2
293,59,8
730,24,3
938,31,25
1127,16,4
1145,30,4
1371,20,2
1409,37,15
1551,8,11
1642,42,1
2184,41,4
2517,15,6
2570,17,51
2581,74,12
2909,10,1
2989,14,1
2994,32,3
3155,31,11
3327,33,4
3704,18,3
3741,16,4
3845,17,1
3937,26,0
4551,9,18
5079,2,0
5148,7,1
5617,37,12
6156,30,3
6489,11,4
6675,11,2
6856,43,6
6860,9,4
