16021453,3,165,70,95,30
17642921,2,92,70,22,2
17642921,2,92,70,22,2
406908289,1,263,11,252,8
152389,1,15,2,13,7
390450,292,95,62,33,413
45026123,112,20,16,4,65
72315452,7,33,1,32,10
72315452,7,33,1,32,10
192179072,4,168,2,166,2
263542313,2,53,5,48,4
390972006,1,10,1,9,7
10367407,319,143,72,71,184
58753234,35,20,4,16,9
200571871,18,44,1,43,5
348472751,19,17,3,14,12
369133455,1,152,3,149,1
395437400,11,11,6,5,130
44393330,2,48,2,46,9
151148132,51,96,21,75,55
155959105,3,94,2,92,6
169366230,88,291,19,272,126
308586273,5,72,5,67,9
2376548,134,50,12,38,12
4295303,42,15,4,11,31
88151991,6,286,7,279,9
136146311,15,81,10,71,88
276363382,4,88,57,31,22
276363382,4,88,57,31,22
8596085,183,100,97,3,90
25893308,88,100,1,99,1006
35842711,1,362,13,349,216
139255511,82,43,22,21,238
197788015,11,134,44,90,32
206698889,10,47,18,29,52
246657985,1,28,3,25,110
274721946,12,4,1,3,39
306792749,3,10,9,1,90
331798330,19,10,2,8,37
18541954,3,14,2,12,7
92931533,16,62,13,49,2
126474485,1,206,8,198,1209
130735295,19,5,1,4,155
133885421,2,25,2,23,2
135509304,8,15,2,13,27
4213430,14,112,14,98,50
14545990,21,38,3,35,2
17011902,45,99,25,74,31
17323200,43,26,17,9,36
19612528,12,116,3,113,761
27210095,290,91,10,81,217
151704187,25,287,18,269,320
172917364,11,31,11,20,3
210238733,26,83,7,76,120
210511566,6,103,2,101,26
235269191,62,188,3,185,107
9310844,16,23,15,8,2
17308292,106,135,82,53,179
19084703,1,61,11,50,7
55087132,11,134,1,133,10
206006420,18,13,3,10,7
373994624,1,70,1,69,19
70909932,24,323,38,285,35
319224350,9,44,8,36,34
286092313,5,6,1,5,33
342840502,3,234,4,230,28
374190951,5,13,3,10,43
80602731,37,32,6,26,75
421098037,1,23,6,17,1
236010451,1,1008,6,1002,5
362519482,1,31,1,30,119
428655022,6,13,4,9,15
13001473,12,271,3,268,49
165545056,23,29,9,20,55
165545056,23,29,9,20,55
5129492,52,38,6,32,22
231450845,2,59,57,2,142
348226445,1,32,12,20,18
290098795,217,23,7,16,33
1770217,2,6,4,2,2
2936412,5,36,6,30,11
36184350,27,24,6,18,115
35080286,79,8,6,2,1
224296370,6,90,19,71,16
155557122,4,18,1,17,7
9603109,29,113,10,103,53
9603109,29,113,10,103,53
344941085,8,43,8,35,33
